cc_num,year,month,HOM_tag,HOM_total,HOM_entertainment,HOM_entertainment_freq,HOM_food_dining,HOM_food_dining_freq,HOM_gas_transport,HOM_gas_transport_freq,HOM_grocery_net,HOM_grocery_net_freq,HOM_grocery_pos,HOM_grocery_pos_freq,HOM_health_fitness,HOM_health_fitness_freq,HOM_home,HOM_home_freq,HOM_kids_pets,HOM_kids_pets_freq,HOM_misc_net,HOM_misc_net_freq,HOM_misc_pos,HOM_misc_pos_freq,HOM_personal_care,HOM_personal_care_freq,HOM_shopping_net,HOM_shopping_net_freq,HOM_shopping_pos,HOM_shopping_pos_freq,HOM_travel,HOM_travel_freq,next_HOM_total,dob,gender,job
2703186189652095,2019,1,1,2904.3099999999995,218.73,4,90.69,3,67.67,1,190.3,3,807.92,4,22.61,1,153.49,2,262.69,5,160.49,5,4.05,1,215.16,5,557.81,5,140.54,7,12.16,2,5513.390000000002,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,1,2,5513.390000000002,476.50000000000006,7,152.08,2,0.0,0,250.94,4,618.95,3,23.15,1,505.36,6,102.93,3,143.46,3,554.01,3,100.88,4,1941.28,6,620.88,5,22.97,3,3696.990000000001,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,2,1,3696.990000000001,244.19,2,22.93,1,0.0,0,225.23,3,625.63,3,364.46,3,294.35,5,91.65,1,73.5,1,133.35,6,22.0,1,1422.89,2,176.81,7,0.0,0,2847.65,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,2,2,2847.65,85.84,2,317.4500000000001,6,0.0,0,73.49,1,746.36,4,68.87,3,138.63,3,105.88,2,0.0,0,156.39999999999995,3,180.44,2,216.05,3,758.24,4,0.0,0,4785.080000000002,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,3,1,4785.080000000002,245.7,3,51.88,2,152.95,2,111.16,2,1500.4899999999998,7,0.0,0,459.99,8,288.6400000000001,5,394.23,2,370.44,4,327.4500000000001,6,584.38,1,297.77,9,0.0,0,4127.63,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,3,2,4127.63,303.04,4,176.41000000000003,3,144.67000000000004,2,215.14,3,1270.75,6,131.62,3,245.04,5,316.87,3,248.79,2,280.02000000000004,4,186.67,3,267.22,6,341.39,6,0.0,0,2954.680000000001,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,4,1,2954.680000000001,97.69,3,192.14,3,0.0,0,362.98,5,1002.06,5,222.9,4,386.42,10,57.21,3,101.49,4,8.09,1,142.97,5,23.49,4,353.06,9,4.18,1,2857.700000000001,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,4,2,2857.700000000001,423.72,5,488.68,7,74.22,1,203.9,4,197.53,1,210.12000000000003,5,461.38,8,33.44,1,16.330000000000002,3,182.05,2,234.33,6,314.06,7,17.94,2,0.0,0,6761.68,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,5,1,6761.68,494.72,4,18.73,1,54.14,1,331.4600000000001,5,1368.31,7,92.86,3,643.09,7,199.92,4,1.73,1,240.95,5,379.34,3,1368.39,6,1443.58,5,124.46,2,4075.16,1988-03-09,F,"Psychologist, counselling"
2703186189652095,2019,5,2,4075.16,469.18,5,171.04,3,60.66,1,135.51,2,798.39,4,429.91,6,358.64,6,295.36,5,4.89,2,455.68,5,81.78999999999998,2,604.94,5,194.57,2,14.6,2,9457.06,1988-03-09,F,"Psychologist, counselling"
